Ticker,Date,Open,High,Low,Close,Adj Close,Volume
CL=F,2008-08-21,115.8600006,122.0400009,115.4000015,121.1800003,121.1800003,308114
^NYA,2008-08-22,8314.139648,8388.790039,8314.139648,8373.549805,8373.549805,3741070000
^IXIC,2008-08-22,2390.340088,2417.629883,2390.340088,2414.709961,2414.709961,1365910000
^FTSE,2008-08-22,5370.200195,5505.600098,5368,5505.600098,5505.600098,1024330800
^NSEI,2008-08-22,4283.850098,4337,4248,4327.450195,4327.450195,0
^BSESN,2008-08-22,14153.38965,14428.51953,14136.86035,14401.49023,14401.49023,20400
^N225,2008-08-22,12727.37012,12732.69043,12631.94043,12666.04004,12666.04004,87900000
000001.SS,2008-08-22,2414.458984,2426.707031,2362.093018,2405.226074,2405.226074,46200
^N100,2008-08-22,754.8300171,768.9899902,752.4799805,768.4799805,768.4799805,228775000
^DJI,2008-08-22,11426.79004,11632.12988,11426.79004,11628.05957,11628.05957,138790000
^GSPC,2008-08-22,1277.589966,1293.089966,1277.589966,1292.199951,1292.199951,3741070000
GC=F,2008-08-22,832.2999878,836.5999756,823.0999756,827.4000244,827.4000244,21
CL=F,2008-08-22,121.5500031,121.8600006,114.1800003,114.5899963,114.5899963,276216
^NYA,2008-08-25,8373.549805,8373.549805,8214.070313,8229.030273,8229.030273,3420600000
^IXIC,2008-08-25,2399.72998,2399.72998,2362.199951,2365.590088,2365.590088,2366920000
^NSEI,2008-08-25,4317.950195,4398.799805,4317.950195,4335.350098,4335.350098,0
^BSESN,2008-08-25,14643.37012,14672.69043,14416.2002,14450.34961,14450.34961,17000
^N225,2008-08-25,12797.54004,12949.33008,12797.54004,12878.66016,12878.66016,86600000
000001.SS,2008-08-25,2408.094971,2443.98999,2382.291016,2413.374023,2413.374023,33800
^N100,2008-08-25,764.8200073,767.4500122,760.5,760.8800049,760.8800049,123345200
^DJI,2008-08-25,11626.19043,11626.26953,11362.62988,11386.25,11386.25,148610000
